	sentence	masked_sen	label
78	Appeal to somebody for help!	[MASK] to somebody for help!	1
79	She appealed the verdict.	She [MASK] the verdict.	0
80	He suddenly appeared at the wedding	He suddenly [MASK] at the wedding	0
81	Did your latest book appear yet?	Did your latest book [MASK] yet?	0
82	Gielgud appears briefly in this movie	Gielgud [MASK] briefly in this movie	0
83	He had to appear in court last month	He had to [MASK] in court last month	0
84	Do you appreciate the full meaning of this letter?	Do you [MASK] the full meaning of this letter?	0
85	The yen appreciated again!	The yen [MASK] again!	0
86	The Germans want to appreciate the Deutsche Mark	The Germans want to [MASK] the Deutsche Mark	0
87	We were approaching our destination	We were [MASK] our destination	0
88	Winter is approaching	Winter is [MASK]	0
89	I was approached by the President to serve as his adviser in foreign matters	I was [MASK] by the President to serve as his adviser in foreign matters	0
90	We ascended the mountain.	We [MASK] the mountain.	0
91	Inheritance may not ascend linearly.	Inheritance may not [MASK] linearly.	1
92	She ascended to the throne after the King's death.	She [MASK] to the throne after the King's death.	0
93	The boat ascended the Delaware.	The boat [MASK] the Delaware.	0
94	The path ascended to the top of the hill.	The path [MASK] to the top of the hill.	0
95	I asked about their special today	I [MASK] about their special today	0
96	She asked him for a loan	She [MASK] him for a loan	0
97	He is asking $200 for the table	He is [MASK] $200 for the table	0
98	We were assigned new uniforms.	We were [MASK] new uniforms.	0
99	The teacher assigned him to lead his classmates in the exercise.	The teacher [MASK] him to lead his classmates in the exercise.	0
100	The biologist assigned the mushroom to the proper class.	The biologist [MASK] the mushroom to the proper class.	0
101	Immigrants often want to assimilate quickly	Immigrants often want to [MASK] quickly	0
102	This country assimilates immigrants very quickly	This country [MASK] immigrants very quickly	0
103	The nasal assimilates to the following consonant	The nasal [MASK] to the following consonant	0
104	I assume his train was late	I [MASK] his train was late	0
105	When will the new President assume office?	When will the new President [MASK] office?	0
106	He assumes the lotus position	He [MASK] the lotus position	0
107	He assumed to himself the right to fill all positions in the town	He [MASK] to himself the right to fill all positions in the town	0
108	"""She assumed indifference, even though she was seething with anger"""	"""She [MASK] indifference, even though she was seething with anger"""	0
109	This is the day when May was assumed into heaven	This is the day when May was [MASK] into heaven	0
110	"""Hitler attacked Poland on September 1, 1939 and started World War II"""	"""Hitler [MASK] Poland on September 1, 1939 and started World War II"""	0
111	The editors of the left-leaning paper attacked the new House Speaker	The editors of the left-leaning paper [MASK] the new House Speaker	1
112	The Serbs attacked the village at night	The Serbs [MASK] the village at night	0
113	I attacked the problem as soon as I got out of bed	I [MASK] the problem as soon as I got out of bed	1
114	The cancer cells are attacking his liver	The cancer cells are [MASK] his liver	0
115	She attends class regularly	She [MASK] class regularly	0
116	Menuhin's playing was attended by a 15-minute standing ovation	Menuhin's playing was [MASK] by a 15-minute standing ovation	0
117	She attends the old lady in the wheelchair	She [MASK] the old lady in the wheelchair	0
118	The children in the audience attended the recital quietly	The children in the audience [MASK] the recital quietly	0
119	His high fever attested to his illness	His high fever [MASK] to his illness	1
120	I attest this signature	I [MASK] this signature	0
121	This word is not attested until 1993	This word is not [MASK] until 1993	0
122	Let's avoid a confrontation.	Let's [MASK] a confrontation.	0
123	Muslims avoid tobacco during the day.	Muslims [MASK] tobacco during the day.	0
124	back into the driveway	[MASK] into the driveway	0
125	back the car into the parking spot	[MASK] the car into the parking spot	0
126	back this enterprise	[MASK] this enterprise	0
127	My garage backs their yard	My garage [MASK] their yard	0
128	Which horse are you backing?	Which horse are you [MASK]	1
129	Can you back up your claims?	Can you [MASK] up your claims?	0
130	The DMZ begins right over the hill	The DMZ [MASK] right over the hill	0
131	The number `one' begins the sequence	The number `one' [MASK] the sequence	0
132	The novel begins with a murder	The novel [MASK] with a murder	0
133	This economic measure doesn't even begin to deal with the problem of inflation	This economic measure doesn't even [MASK] to deal with the problem of inflation	0
134	I believed his report	I [MASK] his report	0
135	I believe that he will come back from the war	I [MASK] that he will come back from the war	0
136	"""When you hear his sermons, you will be able to believe, too"""	"""When you hear his sermons, you will be able to [MASK] too"""	0
137	You cannot believe this man	You cannot [MASK] this man	0
138	This book belongs to me	This book [MASK] to me	0
139	This student somehow doesn't belong	This student somehow doesn't [MASK]	0
140	Where do these books belong?	Where do these books [MASK]	0
141	The whales belong among the mammals	The whales [MASK] among the mammals	0
142	They belong to the same political party	They [MASK] to the same political party	0
143	the uniform looks like it belonged to a museum collection	the uniform looks like it [MASK] to a museum collection	0
144	The Turks besieged Vienna	The Turks [MASK] Vienna	0
145	She was besieged by so many problems that she got discouraged	She was [MASK] by so many problems that she got discouraged	1
146	The press photographers besieged the movie star	The press photographers [MASK] the movie star	0
147	The Chinese would bind the feet of their women.	The Chinese would [MASK] the feet of their women.	0
148	They bind their books in leather.	They [MASK] their books in leather.	0
149	The hydrogen binds the oxygen.	The hydrogen [MASK] the oxygen.	0
150	She tended to blast when speaking into a microphone	She tended to [MASK] when speaking into a microphone	1
151	the air conditioning was blasting cold air at us	the air conditioning was [MASK] cold air at us	0
152	blast a passage through the mountain	[MASK] a passage through the mountain	0
153	blast a tunnel through the Alps	[MASK] a tunnel through the Alps	0
154	the gunman blasted away	the gunman [MASK] away	0
155	Meteors blazed across the atmosphere.	Meteors [MASK] across the atmosphere.	1
156	He blazed away at the men.	He [MASK] away at the men.	1
157	The summer sun alone can cause a pine to blaze.	The summer sun alone can cause a pine to [MASK].	0
158	The spaceship blazed out into space.	The spaceship [MASK] out into space.	1
159	She blended the nuts and raisins together.	She [MASK] the nuts and raisins together.	0
160	This flavor will blend with those in your dish.	This flavor will [MASK] with those in your dish.	0
161	The colors blend well.	The colors [MASK] well.	0
162	Her feet blistered during the long hike.	Her feet [MASK] during the long hike.	0
163	The Senator blistered the administration in his speech on Friday.	The Senator [MASK] the administration in his speech on Friday.	1
164	The tight shoes and perspiration blistered her feet.	The tight shoes and perspiration [MASK] her feet.	0
165	The haze blurs the hills	The haze [MASK] the hills	0
166	The fog blurs my vision	The fog [MASK] my vision	0
167	The distinction between the two theories blurred	The distinction between the two theories [MASK]	1
168	her rucksack bobbed gently on her back	her rucksack [MASK] gently on her back	0
169	The boys bobbed down the hill screaming with pleasure	The boys [MASK] down the hill screaming with pleasure	0
170	Bernice bobs her hair these days!	Bernice [MASK] her hair these days!	0
171	She bolted from her seat	She [MASK] from her seat	0
172	The listeners bolted when he discussed his strange ideas	The listeners [MASK] when he discussed his strange ideas	0
173	Don't bolt your food!	Don't [MASK] your food!	1
174	The tax cut will boost the economy.	The tax cut will [MASK] the economy.	1
175	Boost the voltage in an electrical circuit.	[MASK] the voltage in an electrical circuit.	0
176	The singer had to be boosted onto the stage by a special contraption.	The singer had to be [MASK] onto the stage by a special contraption.	0
177	Mosquitoes buzzing in my ear really bothers me	Mosquitoes buzzing in my ear really [MASK] me	0
178	Don't bother the professor while she is grading term papers	Don't [MASK] the professor while she is grading term papers	0
179	The mere thought of her bothered him and made his heart beat faster	The mere thought of her [MASK] him and made his heart beat faster	0
180	The rubber ball bounced	The rubber ball [MASK]	0
181	He bounced to his feet	He [MASK] to his feet	0
182	The ex-boxer's job is to bounce people who want to enter this private club	The ex-boxer's job is to [MASK] people who want to enter this private club	1
183	He bowed before the King	He [MASK] before the King	0
184	The government bowed to the military pressure	The government [MASK] to the military pressure	1
185	He bowed before the King	He [MASK] before the King	0
186	She bowed before the Queen	She [MASK] before the Queen	0
187	I can breathe better when the air is clean	I can [MASK] better when the air is clean	0
188	Every creature that breathes	Every creature that [MASK]	0
189	He breathed new life into the old house	He [MASK] new life into the old house	1
190	Our new synthetic fabric breathes and is perfect for summer wear	Our new synthetic fabric [MASK] and is perfect for summer wear	1
191	She breathes the Christian spirit	She [MASK] the Christian spirit	1
192	This rare Bordeaux must be allowed to breathe for at least 2 hours	This rare Bordeaux must be allowed to [MASK] for at least 2 hours	1
193	Johnson brushed the hairs from his jacket	Johnson [MASK] the hairs from his jacket	0
194	He brushed the wall lightly	He [MASK] the wall lightly	0
195	She brushed the suit before hanging it back into the closet	She [MASK] the suit before hanging it back into the closet	0
196	Her long skirt brushed the floor	Her long skirt [MASK] the floor	0
197	brush away the crumbs	[MASK] away the crumbs	0
198	brush the bread with melted butter	[MASK] the bread with melted butter	0
199	Suspense was building right from the beginning of the opera	Suspense was [MASK] right from the beginning of the opera	0
200	The government is building new schools in this state	The government is [MASK] new schools in this state	0
201	build a modern nation	[MASK] a modern nation	0
202	These architects build in interesting and new styles	These architects [MASK] in interesting and new styles	0
203	build a defense on nothing but the accused person's reputation	[MASK] a defense on nothing but the accused person's reputation	0
204	This sum will buy you a ride on the train	This sum will [MASK] you a ride on the train	0
205	She wanted to buy his love with her dedication to him and his work	She wanted to [MASK] his love with her dedication to him and his work	0
206	I can't buy this story	I can't [MASK] this story	1
207	bees were buzzing around the hive	bees were [MASK] around the hive	0
208	Planes buzzed the crowds in the square	Planes [MASK] the crowds in the square	0
209	This office is buzzing with activity	This office is [MASK] with activity	1
210	he buzzed the servant	he [MASK] the servant	1
211	capture the essence of Spring	[MASK] the essence of Spring	1
212	She captured all the men's hearts	She [MASK] all the men's hearts	1
213	This nucleus has captured the slow-moving neutrons	This nucleus has [MASK] the slow-moving neutrons	0
214	She challenged his claims	She [MASK] his claims	0
215	Fischer challenged Spassky to a match	Fischer [MASK] Spassky to a match	0
216	The illegal immigrant was challenged by the border guard	The illegal immigrant was [MASK] by the border guard	0
217	Father had to learn how to change the baby	Father had to learn how to [MASK] the baby	0
218	She changed completely as she grew older	She [MASK] completely as she grew older	0
219	her mood changes in accordance with the weather	her mood [MASK] in accordance with the weather	0
220	Would you change places with me?	Would you [MASK] places with me?	0
221	She changed in Chicago on her way to the East coast	She [MASK] in Chicago on her way to the East coast	0
222	His voice began to change when he was 12 years old	His voice began to [MASK] when he was 12 years old	0
223	everybody cheered the birthday boy	everybody [MASK] the birthday boy	0
224	She tried to cheer up the disappointed child when he failed to win the spelling bee	She tried to [MASK] up the disappointed child when he failed to win the spelling bee	0
225	The crowd cheered the demonstrating strikers	The crowd [MASK] the demonstrating strikers	0
226	This letter is being circulated among the faculty.	This letter is being [MASK] among the faculty.	0
227	Blood circulates in my veins.	Blood [MASK] in my veins.	0
228	The fan circulates the air in the room.	The fan [MASK] the air in the room.	0
229	She circulates among royalty.	She [MASK] among royalty.	1
230	He claimed that he killed the burglar	He [MASK] that he killed the burglar	0
231	He claimed his suitcases at the airline counter	He [MASK] his suitcases at the airline counter	0
232	They claimed on the maximum allowable amount	They [MASK] on the maximum allowable amount	0
233	the accident claimed three lives	the accident [MASK] three lives	0
234	he clamored for justice and tolerance	he [MASK] for justice and tolerance	0
235	The delegates clamored their disappointment	The delegates [MASK] their disappointment	1
236	They clamored the mayor into building a new park	They [MASK] the mayor into building a new park	0
237	The judge clapped him in jail	The judge [MASK] him in jail	1
238	The big bird clapped its wings	The big bird [MASK] its wings	0
239	The children were clapping to the music	The children were [MASK] to the music	0
240	the wings of the birds clapped loudly	the wings of the birds [MASK] loudly	0
241	clap two boards together	[MASK] two boards together	0
242	They clawed their way to the top of the mountain.	They [MASK] their way to the top of the mountain.	1
243	She clawed the doorknob.	She [MASK] the doorknob.	1
244	The politician clawed his rival.	The politician [MASK] his rival.	1
245	The dentist cleaned my teeth	The dentist [MASK] my teeth	0
246	clean grain before milling it	[MASK] grain before milling it	0
247	clean up before you see your grandparents	[MASK] up before you see your grandparents	0
248	This stove cleans easily	This stove [MASK] easily	0
249	The other players cleaned him completely	The other players [MASK] him completely	0
250	The boys cleaned the sandwich platters	The boys [MASK] the sandwich platters	0
251	Did you ever climb up the hill behind your house?	Did you ever [MASK] up the hill behind your house?	0
252	Sales were climbing after prices were lowered	Sales were [MASK] after prices were lowered	1
253	The path climbed all the way to the top of the hill	The path [MASK] all the way to the top of the hill	1
254	This young man knows how to climb the social ladder	This young man knows how to [MASK] the social ladder	1
255	prices climbed steeply	prices [MASK] steeply	1
256	The leaves clog our drains in the Fall	The leaves [MASK] our drains in the Fall	0
257	horses were clogged until they were tamed	horses were [MASK] until they were tamed	1
258	The market is being clogged by these operations	The market is being [MASK] by these operations	1
259	Fear clogged her mind	Fear [MASK] her mind	1
260	The stars are obscured by the clouds.	The stars are obscured by the [MASK].	0
261	The smoke clouded above the houses.	The smoke [MASK] above the houses.	0
262	Their faces were clouded with sadness.	Their faces were [MASK] with sadness.	1
263	The stroke clouded memories of her youth.	The stroke [MASK] memories of her youth.	1
264	The chemical clouded the liquid to which it was added.	The chemical [MASK] the liquid to which it was added.	1
265	The church members co-opted individuals from similar backgrounds to replenish the congregation	The church members [MASK] individuals from similar backgrounds to replenish the congregation	0
266	We co-opted the independent minority tribes by pulling them into the Northern Alliance	We [MASK] the independent minority tribes by pulling them into the Northern Alliance	0
267	The army tried to co-opt peasants into civil defence groups	The army tried to [MASK] peasants into civil defence groups	0
268	He co-opted the criticism and embraced it	He [MASK] the criticism and embraced it	0
269	The child colored the drawings	The child [MASK] the drawings	0
270	My personal feelings color my judgment in this case	My personal feelings [MASK] my judgment in this case	1
271	His political ideas color his lectures	His political ideas [MASK] his lectures	1
272	color the walls with paint in warm tones	[MASK] the walls with paint in warm tones	0
273	She committed herself to the work of God	She [MASK] herself to the work of God	0
274	"""After the second episode, she had to be committed"""	"""After the second episode, she had to be [MASK]"""	0
275	commit a random act of kindness	[MASK] a random act of kindness	0
276	Please communicate this message to all employees	Please [MASK] this message to all employees	0
277	He communicated his anxieties to the psychiatrist	He [MASK] his anxieties to the psychiatrist	0
278	communicate a disease	[MASK] a disease	0
279	The rooms communicated	The rooms [MASK]	1
280	He and his sons haven't communicated for years	He and his sons haven't [MASK] for years	0
281	John compared his haircut to his friend's	John [MASK] his haircut to his friend's	0
282	This car does not compare with our line of Mercedes	This car does not [MASK] with our line of Mercedes	0
283	We can compare the Han dynasty to the Romans	We can [MASK] the Han dynasty to the Romans	0
284	Greed and ambition composed his personality	Greed and ambition [MASK] his personality	1
285	Beethoven composed nine symphonies	Beethoven [MASK] nine symphonies	0
286	She had to compose herself before she could reply to this terrible insult	She had to [MASK] herself before she could reply to this terrible insult	0
287	Our office is fully computerized now.	Our office is fully [MASK] now.	0
288	Please use a computerized disctionary.	Please use a [MASK] disctionary.	0
289	They computerized the car industry	They [MASK] the car industry	0
290	We condemn the racism in South Africa	We [MASK] the racism in South Africa	0
291	The building was condemned by the inspector	The building was [MASK] by the inspector	0
292	His devotion to his sick wife condemned him to a lonely existence	His devotion to his sick wife [MASK] him to a lonely existence	1
293	Her strange behavior condemned her	Her strange behavior [MASK] her	0
294	He was condemned to ten years in prison	He was [MASK] to ten years in prison	0
295	the county condemned the land to build a highway	the county [MASK] the land to build a highway	0
296	condense the contents of a book into a summary	[MASK] the contents of a book into a summary	0
297	The cold air condensed the steam	The cold air [MASK] the steam	0
298	Her feelings condensed	Her feelings [MASK]	1
299	All our planets condensed out of the same material	All our planets [MASK] out of the same material	0
300	Congress condensed the three-year plan into a six-month plan	Congress [MASK] the three-year plan into a six-month plan	0
301	You cannot conduct business like this	You cannot [MASK] business like this	0
302	conduct an orchestra; Barenboim conducted the Chicago symphony for years	[MASK] an orchestra; Barenboim conducted the Chicago symphony for years	0
303	Bernstein conducted Mahler like no other conductor	Bernstein [MASK] Mahler like no other conductor	0
304	his story confirmed my doubts	his story [MASK] my doubts	0
305	The witnesses confirmed the victim's account	The witnesses [MASK] the victim's account	0
306	The Senate confirmed the President's candidate for Secretary of Defense	The Senate [MASK] the President's candidate for Secretary of Defense	0
307	the children were confirmed in their mother's faith	the children were [MASK] in their mother's faith	0
308	You must confront your opponent	You must [MASK] your opponent	0
309	You must confront your problems	You must [MASK] your problems	0
310	We confronted him with the evidence	We [MASK] him with the evidence	0
311	The child screamed when he confronted the man in the Halloween costume	The child screamed when he [MASK] the man in the Halloween costume	0
312	These questions confuse even the experts.	These questions [MASK] even the experts.	0
313	The constant attention of the young man confused her.	The constant attention of the young man [MASK] her.	0
314	Her remarks confused the debate.	Her remarks [MASK] the debate.	0
315	consider the possibility of moving	[MASK] the possibility of moving	0
316	You must consider her age	You must [MASK] her age	0
317	They considered the possibility of a strike	They [MASK] the possibility of a strike	0
318	Please consider your family	Please [MASK] your family	0
319	The companies consolidated	The companies [MASK]	0
320	consolidate one's gains	[MASK] one's gains	0
321	The town and county schools are being consolidated	The town and county schools are being [MASK]	0
322	The mud had consolidated overnight	The mud had [MASK] overnight	0
323	consolidate fibers into boards	[MASK] fibers into boards	0
324	The United States were constitutionalized in the late 18th century	The United States were [MASK] in the late 18th century	0
325	A good way of exercising is to constitutionalize	A good way of exercising is to [MASK]	0
326	A woman's right to an abortion was constitutionalized in the 1970's	A woman's right to an abortion was [MASK] in the 1970's	0
327	construct an equilateral triangle	[MASK] an equilateral triangle	0
328	construct a sentence	[MASK] a sentence	0
329	construct an argument	[MASK] an argument	0
330	The fire consumed the building	The fire [MASK] the building	1
331	this car consumes a lot of gas	this car [MASK] a lot of gas	0
332	The effort to pass the exam consumed all his energy	The effort to pass the exam [MASK] all his energy	0
333	We continued to work into the night	We [MASK] to work into the night	0
334	The bad weather continued for two more weeks	The bad weather [MASK] for two more weeks	0
335	We cannot continue several servants any longer	We cannot [MASK] several servants any longer	0
336	We continued our research into the cause of the illness	We [MASK] our research into the cause of the illness	0
337	The demonstration continued after a break for lunch	The demonstration [MASK] after a break for lunch	0
338	The crowd converged on the movie star.	The crowd [MASK] on the movie star.	0
339	Social forces converged to bring the Fascists back to power.	Social forces [MASK] to bring the Fascists back to power.	1
340	The comedian convulsed the crowd	The comedian [MASK] the crowd	1
341	earthquakes convulsed the countryside	earthquakes [MASK] the countryside	0
342	The spasm convulses her facial muscles	The spasm [MASK] her facial muscles	0
343	The muscles in her face convulsed	The muscles in her face [MASK]	0
344	My husband doesn't cook	My husband doesn't [MASK]	0
345	These potatoes have to cook for 20 minutes	These potatoes have to [MASK] for 20 minutes	0
346	The apothecary cooked the medicinal mixture in a big iron kettle	The apothecary [MASK] the medicinal mixture in a big iron kettle	0
347	engineers will work to correct the effects or air resistance	engineers will work to [MASK] the effects or air resistance	0
348	the stock market corrected	the stock market [MASK]	1
349	The new contact lenses will correct for his myopia	The new contact lenses will [MASK] for his myopia	0
350	Can you count the books on your shelf?	Can you [MASK] the books on your shelf?	0
351	The toddler could count to 100	The toddler could [MASK] to 100	0
352	The academy counts several Nobel Prize winners among its members	The academy [MASK] several Nobel Prize winners among its members	0
353	I can count my colleagues in the opposition	I can [MASK] my colleagues in the opposition	0
354	each answer counts as three points	each answer [MASK] as three points	0
355	you can count on me to help you any time	you can [MASK] on me to help you any time	1
356	The crocodile was crawling along the riverbed	The crocodile was [MASK] along the riverbed	0
357	My skin crawled--I was terrified	My skin [MASK] was terrified	1
358	The old cheese was crawling with maggots	The old cheese was [MASK] with maggots	1
359	European children learn the breast stroke; they often don't know how to crawl	European children learn the breast stroke; they often don't know how to [MASK]	0
360	We credited her for saving our jobs	We [MASK] her for saving our jobs	0
361	She was not properly credited in the program	She was not properly [MASK] in the program	0
362	We credit your account with $100	We [MASK] your account with $100	0
363	The prince was crowned in Westminster Abbey	The prince was [MASK] in Westminster Abbey	0
364	The speech crowned the meeting	The speech [MASK] the meeting	1
365	A weather vane crowns the building	A weather vane [MASK] the building	1
366	crush an aluminum can	[MASK] an aluminum can	0
367	The car crushed the toy	The car [MASK] the toy	0
368	She was crushed by his refusal of her invitation	She was [MASK] by his refusal of her invitation	1
369	The plastic bottle crushed against the wall	The plastic bottle [MASK] against the wall	0
370	The meeting culminated in a tearful embrace.	The meeting [MASK] in a tearful embrace.	1
371	Seurat culminated pointillism.	Seurat [MASK] pointillism.	1
372	The helmet culminated in a crest.	The helmet [MASK] in a crest.	0
373	The cigar smoke curled up at the ceiling.	The cigar smoke [MASK] up at the ceiling.	1
374	She curled farther down under the covers.	She [MASK] farther down under the covers.	1
375	"""Curl my hair, please."""	"""[MASK] my hair, please."""	0
376	The young girl danced into the room.	The young girl [MASK] into the room.	0
377	My husband and I like to dance at home to the radio.	My husband and I like to [MASK] at home to the radio.	0
378	The children danced with joy.	The children [MASK] with joy.	0
379	She dashed into the yard	She [MASK] into the yard	0
380	He dashed the plate against the wall	He [MASK] the plate against the wall	0
381	dashed ambitions and hopes	[MASK] ambitions and hopes	1
382	dashed by the refusal	[MASK] by the refusal	1
383	blue paint dashed with white	blue paint [MASK] with white	0
384	The package is dated November 24	The package is [MASK] November 24	0
385	Scientists often cannot date precisely archeological or prehistorical findings	Scientists often cannot [MASK] precisely archeological or prehistorical findings	0
386	She wrote the letter on Monday but she dated it Saturday so as not to reveal that she procrastinated	She wrote the letter on Monday but she [MASK] it Saturday so as not to reveal that she procrastinated	0
387	It dawned on him that she had betrayed him	It [MASK] on him that she had betrayed him	1
388	The age of computers had dawned	The age of computers had [MASK]	1
389	"""It started to dawn, and we had to get up"""	"""It started to [MASK] and we had to get up"""	0
390	The band debuts a new song or two each month	The band [MASK] a new song or two each month	0
391	"""The new ballet that debuts next months at Covent Garden, is already sold out"""	"""The new ballet that [MASK] next months at Covent Garden, is already sold out"""	0
392	This young soprano debuts next month at the Metropolitan Opera	This young soprano [MASK] next month at the Metropolitan Opera	0
393	We finally decided after lengthy deliberations	We finally [MASK] after lengthy deliberations	0
394	The case was decided	The case was [MASK]	0
395	This new development finally decided me!	This new development finally [MASK] me!	0
396	The vote in New Hampshire often decides the outcome of the Presidential election	The vote in New Hampshire often [MASK] the outcome of the Presidential election	0
397	He declared that he needed more money to carry out the task he was charged with	He [MASK] that he needed more money to carry out the task he was charged with	0
398	The President declared war	The President [MASK] war	0
399	He declared that he was innocent	He [MASK] that he was innocent	0
400	She was declared incompetent	She was [MASK] incompetent	0
401	Do you have anything to declare?	Do you have anything to [MASK]	0
402	His wife declared at once for moving to the West Coast	His wife [MASK] at once for moving to the West Coast	0
403	he declined to join the group on a hike	he [MASK] to join the group on a hike	0
404	The roof declines here	The roof [MASK] here	0
405	"""in many languages, speakers decline nouns, pronouns, and adjectives"""	"""in many languages, speakers [MASK] nouns, pronouns, and adjectives"""	0
406	deflate the air mattress	[MASK] the air mattress	0
407	The bad review of his work deflated his self-confidence	The bad review of his work [MASK] his self-confidence	1
408	The new measures deflated the economy	The new measures [MASK] the economy	1
409	deflate the currency	[MASK] the currency	1
410	The balloons deflated	The balloons [MASK]	0
411	the heat deformed the plastic sculpture	the heat [MASK] the plastic sculpture	0
412	The sidewalk deformed during the earthquake	The sidewalk [MASK] during the earthquake	0
413	His body was deformed by leprosy	His body was [MASK] by leprosy	0
414	You should carry dehydrated food on your camping trip.	You should carry [MASK] food on your camping trip.	0
