	sentence	subject	verb	object	label
68	The U.S. Supreme Court handed a victory to generic drug companies.	court	hand	victory	1
69	Forced overtime  burns goodwill  at an extremely high rate.	overtime	burn	goodwill	1
70	The company’s stock jumped more than five percent,	stock	jump		1
71	At Southwest Airlines, they understand that success rides on friendly service.	success	ride		1
72	I find it a constant struggle to shut my brain off sometimes.		shut	brain	1
73	Don’t go and blow your paycheck though.		blow	paycheck	1
74	My computer slipped into coma.	computer	slip	coma	1
75	My difficult daily schedule slips by wayside.	schedule	slip		1
76	"The courts have attached broad meaning to the term ""interstate commerce""."	court	attach	meaning	1
77	5 states are still solidly or strongly leaning Republican.	state	lean	republican	1
78	Instead, Bernanke leaned on Congress to do more.	Bernake	lean	congress	1
79	Apple has rolled out a new commercial for the iPad	Apple	roll	commercial	1
80	Look at their smiling faces and their zeal as they try to wash their sins away.		wash	sin	1
81	Like last year, Android tablets are stealing the spotlight.	tablet	steal	spotlight	1
82	The stress test results stole the show from the Fed.	result	steal	show	1
83	Out-of-control spending was hurting the economy.	spending	hurt	economy	1
84	This is where some professionals may stretch the truth because they also know this is very important to you. 	professional	stretch	truth	1
85	There are many things in life that can knock your confidence.		knock	confidence	1
86	Once my phone was paired the car complained that my SD card was corrupt.	car	complain		1
87	Your destiny is tied to the person you work for.		tie	destiny	1
88	I really hope society wakes up soon.	society	wake		1
89	This would do more to clean up government than a lot of other proposals would, but that is just my opinion.		clean	government	1
90	I recently landed a nursing internship, which I am currently enjoying.		land	internship	1
91	We need to kick our addiction to carbon.		kick	addiction	1
92	In his views as the primary electorate swings further right.	electorate	swing		1
93	The Great Depression dragged the market down with it.	depression	drag	market	1
94	Life rushes to replace death.	life	rush		1
95	This one speech could sink his candidacy.	speech	sink	candidacy	1
96	But it is in the company framework that buries initiative.	framework	bury	initiative	1
97	Mitt Romney swept five primaries on Tuesday night.	Mitt Romney	sweep	primary	1
98	The rich are getting richer while the middle class slides into poverty.	class	slide	poverty	1
99	Plainly, Ehud Olmert, Israel’s prime minister, should grab any opportunity to talk.	Olmert	grab	opportunity	1
100	Headlines scream of pollution and dwindling natural resources.	headline	scream		1
101	Primary battles have torn the party apart.	battle	tear	party	1
102	Nonetheless, an established cult of fans digs this activity.	cult	dig	activity	1
103	However, the funding dried up in 2007.	funding	dry		1
104	The German economy shrugged off the impact of eurozone debt crisis.	economy	shrug	impact	1
105	The economy sailed through the world recession of 2001.	economy	sail		1
106	The government dreams up regulations that affect pubs every day.	government	dream	regulation	1
107	The creativity flowed from the parents as well as the children.	creativity	flow		1
108	The pride bursts from my heart.	pride	burst		1
109	Airports are swimming in money from passenger fees.	airport	swim	money	1
110	Communism collapsed world-wide.	communism	collapse		1
111	She hated strangers approaching her for any reason.	stranger	approach		0
112	The camp smoke arose from the usual places as far as I could see.	smoke	arise		0
113	The bus eventually arrived.	bus	arrive		0
114	Attach a drain hose to the radiator drain.		attach	hose	0
115	Somali pirates have attacked 62 ships.	pirate	attack	ship	0
116	In a large bowl, beat eggs until foamy.		beat	egg	0
117	A suicide bomber blew up his sport-utility vehicle in the middle of a village volleyball game.	bomber	blow	vehicle	0
118	Amidst all of that commotion, my wife’s car broke down while she was out getting us pizza.	car	break		0
119	Her son broke my window.	son	break	window	0
120	It is imperative that you bring your own food.		bring	food	0
121	I love that these candles burn clean!	candle	burn		0
122	Fireworks burst over the stadium and lit the night sky.	firework	burst		0
123	The Army started burying soldiers along the northern border of the Arlington estate.	army	bury	soldier	0
124	Ships typically carry up to 12 passengers in comfortable single or double cabins.	ship	carry	passenger	0
125	We each caught another salmon that day, too.		catch	salmon	0
126	Clean a carpet stain immediately, even if you can't see it.		clean	stain	0
127	They climb the stairs to the top of the dam		climb	stairs	0
128	The police closed the main exit road.	police	close	road	0
129	Jim closed the book.	Jim	close	book	0
130	A bridge had collapsed due to the rains.	bridge	collapse		0
131	Some reviewers have complained about the smell.	reviewer	complain		0
132	By this time the young boy was crying.	boy	cry		0
133	I used to cut grass on a golf course when I was in college.		cut	grass	0
134	The judges decide on the winner of the category.	judge	decide		0
135	The protesters demanded the release of the jailed students.	protester	demand		0
136	Her father died when she was very young.	father	die		0
137	I found them while the workmen were digging this pond.	workman	dig	pond	0
138	He dragged his suitcase up the stairs of the inn.		drag	suitcase	0
139	Some brides dream of an elegant formal ceremony in a huge castle.	bride	dream		0
140	Most informants agreed that camels drink more water in the winter than in the summer.	camel	drink	water	0
141	The driver was driving on the wrong side of the road and did not see Joshua.	driver	drive		0
142	This paint dries fast!	paint	dry		0
143	If you don’t eat breakfast and you’re tired by 9 am.		eat	breakfast	0
144	Passing through the hallway visitors enter into the dining room.	visitor	enter	room	0
145	 A couple of prisoners have escaped from the jail near Reykjavik, Iceland. 	prisoner	escape		0
146	All the leaves had fallen from the trees.	leaf	fall		0
147	The farmer arrived to feed the cows.		feed	cow	0
148	You will be able to fill the water bottle at a fountain.		fill	bottle	0
149	Yesterday lava flowed 90 meters wide as far out as a hundred meters from the shoreline.	lava	flow		0
150	Contra planes flew north to the U.S., loaded with cocaine.	plane	fly		0
151	A man went to a city.	man	go	city	0
152	She grabbed a towel and wrapped it around her head.		grab	towel	0
153	And then my dad had a garden, so he grew vegetables.		grow	vegetables	0
154	A week later we handed the keys to our old apartment to our landlord.		hand	key	0
155	I remember my head hit the ground.	head	hit	ground	0
156	As soon as I lie down my stomach hurts again.	stomach	hurt		0
157	Now the fish are jumping out of the pond right into my net!	fish	jump		0
158	To score this point, a kicker must kick the football through the goal posts.	kicker	kick	football	0
159	In July, a suicide bomber killed three people including the top justice official in the region.	bomber	kill	person	0
160	How do you feel when a salesman knocks at your door when you're hurriedly getting ready for the office?	salesman	knock	door	0
161	The helicopter landed in the snow.	helicopter	land		0
162	Iran plans to launch an additional satellite.	Iran	launch	satellite	0
163	The couple laid a wreath at the Tomb of the Unknown Soldier.	couple	lay	wreath	0
164	I shouted to the driver, who was leaning his head out the window.		lean	head	0
165	The pharmacist leaned forward and said he understood.	pharmacist	lean		0
166	These muscles are used to help lift your legs.		lift	leg	0
167	If my children lived nearby, I would be babysitting.	child	live		0
168	People love to be asked about what they’re working on.	person	love		0
169	My daughter has married an Indian man and we attended the traditional Hindu wedding.	daughter	marry	man	0
170	I met a girl who claimed she was in the circus.		meet	girl	0
171	The object then moved slowly away.	object	move		0
172	The man nodded his approval and walked around to me.	man	nod	approval	0
173	Miranda opened her mouth to reply, but no words came out.	Miranda	open	mouth	0
174	Note that the antennas are pointing in different directions.	antena	point		0
175	The horse pulled his head away and lipped the man's nose.	horse	pull	head	0
176	The steam pushed the piston up and down.	steam	push	piston	0
177	At Pitzer College on Wednesday night, nearly 150 students raised their hands.	student	raise	hand	0
178	What can you do if the landlord refuses to make repairs to the premises?	landlord	refuse		0
179	A pair of cowboys rode into town.	cowboy	ride		0
180	Columns of smoke rose from fires burning out of control.	column	rise		0
181	The tears rolled down the poor child's face.	tear	roll		0
182	I rarely have a chance to see my horses run.	horse	run		0
183	Reporters rushed to the scene.	reporter	rush		0
184	The doctor said it would heal fine that way.	doctor	say		0
185	The crowd screamed and sang along as usual.	crowd	scream		0
186	Hawaii of course was settled by Polynesian immigrants from Tahiti about one thousand years ago.	immigrant	settle	Hawaii	0
187	The young man shook his head.	man	shake	head	0
188	He just shrugged his shoulders.		shrug	shoulder	0
189	The ship was sunk by a Soviet submarine.	submarine	sink	ship	0
190	His cat was now sitting expectantly upon his feet.	cat	sit		0
191	Most babies sleep primarily in their parent’s room for months.	baby	sleep		0
192	The top right-hand drawer slid open at a touch.	drawer	slide		0
193	Theo's foot slipped on the slick stone.	foot	slip		0
194	Dean slips his own knife into the sheath in the back of his pants	Dean	slip	knife	0
195	Frodo smiled amid his tears.	Frodo	smile		0
196	Use a small brush to spread glue on the egg.		spread	glue	0
197	For a while, the headless statue stood in the front yard of a neighboring home.	statue	stand		0
198	Frodo stared at the stone in his palm for a few moments.	Frodo	stare		0
199	The thief stole the photo from the museum in Prague.	thief	steal	photo	0
200	The engineer stole Boeing trade secrets.	engineer	steal	secret	0
201	Blair stepped out of the car to meet him.	Blair	step		0
202	Beth turned her head and stuck her tongue at me.	Beth	stick	tongue	0
203	Frank stretched his arm out across the length of the back of the bench.	Frank	stretch	arm	0
204	Some women suffer no pain at all.	woman	suffer	pain	0
205	The bar supports the full weight of the person.	bar	support	weight	0
206	Can humans survive without water?	human	survive		0
207	The old man was sweeping the floor.	man	sweep	floor	0
208	There were over a dozen whale sharks swimming around us.	shark	swim		0
209	Have you ever seen a politician talking to a rich person on TV?	politician	talk		0
210	Older patients may tear the rotator cuff during the dislocation.	patient	tear	cuff	0
211	Scientists think they have discovered the first liquid sea outside of Earth on Saturn's largest moon, Titan.	scientist	think		0
212	Lebanese throw rocks at Israeli soldiers.	Lebanese	throw	rock	0
213	Then you can also tie a ribbon around the card to make it look pretty.		tie	ribbon	0
214	The longer of the two ladders is not touching the ground.	ladder	touch	ground	0
215	All passengers travel in cabins, and all cabins have a private shower & toilet.	passenger	travel		0
216	Jim turned and walked into the waiting room.	Jim	turn		0
217	One morning at daybreak, thunder woke him. 	thunder	wake		0
218	Misha walks his dogs in the park.	Misha	walk	dog	0
219	Pedestrians walk between cafes and other small businesses.	pedestrian	walk		0
220	We always wear helmets when we are riding bikes.		wear	helmet	0
221	Today volunteers welcome visitors and groups of all sizes.	volunteer	welcome	visitor	0
